libvorbis 1.3.7-3
libvpx 1.11.0-2
libwacom 2.1.0-1
libwebp 1.2.2-1
libx11 1.7.3.1-1
libxau 1.0.9-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.28-2
libxcursor 1.2.0-2
libxcvt 0.1.1-1
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.4.0-1
libxkbcommon-x11 1.4.0-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.13-1
libxmu 1.1.3-2
libxnvctrl 510.54-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2266+eb6e7bb6-1
licenses 20220125-1
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-2
lightdm-gtk-greeter-settings 1.2.2-7
lilv 0.24.12-4
linux 5.16.14.arch1-1
linux-api-headers 5.16.8-1
linux-firmware 20220309.cd01f85-1
linux-firmware-whence 20220309.cd01f85-1
linux-headers 5.16.14.arch1-1
lirc 1:0.10.1-12
llvm-libs 13.0.1-2
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lsd 0.21.0-1
lv2 1.18.2-1
lvm2 2.03.15-1
lxappearance 0.6.3-4
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
maim 5.7.4-2
make 4.3-3
man-db 2.10.1-1
mbedtls 2.28.0-1
md4c 0.4.8-1
mdadm 4.2-1
mesa 21.3.7-2
mesa-demos 8.4.0-7
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20210805-1
mpfr 4.1.0.p13-2
mpg123 1.29.3-1
mtdev 1.1.6-1
mtools 1:4.0.38-1
ncurses 6.3-2
ndctl 72.1-1
neofetch 7.1.0-2
netctl 1.27-1
nettle 3.7.3-1
network-manager-applet 1.24.0-1
networkmanager 1.36.2-1
ninja 1.10.2-1
nm-connection-editor 1.24.0-1
node-gyp 9.0.0-1
nodejs 17.7.1-1
nodejs-nopt 5.0.0-2
npm 8.5.4-1
npth 1.6-3
nspr 4.33-1
nss 3.76-1
nvidia 510.54-7
nvidia-settings 510.54-2
nvidia-utils 510.54-1
obs-studio 27.2.1-1
oniguruma 6.9.7.1-2
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openresolv 3.12.0-1
openssh 8.9p1-1
openssl 1.1.1.m-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.79-1
p11-kit 0.24.1-1
pacman 6.0.1-4
pacman-contrib 1.4.0-4
pacman-mirrorlist 20220227-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.5-1
pangomm 2.46.2-1
papirus-icon-theme 20220302-1
parole 4.16.0-1
parted 3.4-2
paru 1.9.3-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-2
pcre 8.45-1
pcre2 10.39-1
perl 5.34.0-3
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
picom 9.1-2
pinentry 1.2.0-1
pipewire 1:0.3.48-1
pixman 0.40.0-1
pkgconf 1.8.0-1
polkit 0.120-5
polkit-gnome 0.105-8
poppler 22.03.0-1
poppler-qt5 22.03.0-1
popt 1.18-3
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-4
pulseaudio-alsa 1:1.2.6-3
pulseaudio-jack 15.0-4
pulseaudio-lirc 15.0-4
pulseaudio-rtp 15.0-4
pulseaudio-zeroconf 15.0-4
python 3.10.2-1
python-appdirs 1.4.4-6
python-cachecontrol 1:0.12.6-4
python-cairocffi 1.3.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-dnspython 1:2.2.0-1
python-docopt 0.6.2-11
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-keyutils 0.6-8
python-markdown 3.3.6-3
python-more-itertools 8.12.0-1
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-pep517 0.12.0-4
python-pip 21.0-1
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pyopenssl 21.0.0-5
python-pyparsing 3.0.1-1
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.3.0-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.0-1
python-urllib3 1.26.8-1
python-webencodings 0.5.1-9
python-xcffib 0.11.1-4
python-yaml 6.0-1
python-zipp 3.7.0-1
qpdfview 0.4.18-2
qt5-base 5.15.3+kde+r134-1
qt5-declarative 5.15.3+kde+r20-1
qt5-svg 5.15.3+kde+r12-1
qt5-translations 5.15.3+kde+r2-1
qt5-wayland 5.15.3+kde+r40-1
qtile 0.20.0-1
ranger 1.9.3-4
rav1e 0.4.1-2
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
rnnoise 0.4.1-1
rofi 1.7.3-1
rtkit 0.13-1
rxvt-unicode 9.26-2
rxvt-unicode-terminfo 9.26-2
sbc 1.5-2
sdl2 2.0.20-2
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shadow 4.11.1-1
shared-mime-info 2.0+115+gd74a913-1
slang 2.3.2-2
slop 7.5-6
smbclient 4.15.5-1
sndio 1.8.1-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
source-highlight 3.1.9-7
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.38.0-1
sratom 0.6.8-3
srt 1.4.4-1
startup-notification 0.12-7
stow 2.3.1-3
sudo 1.9.10-1
svt-av1 0.9.0-2
sysfsutils 2.1.1-1
sysstat 12.5.5-1
systemd 250.4-1
systemd-libs 250.4-1
systemd-sysvcompat 250.4-1
taglib 1.12-1
talloc 2.3.3-3
tar 1.34-1
tdb 1.4.6-1
tevent 1:0.11.0-3
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
thunar 4.16.10-1
tmux 3.2_a-1
tpm2-tss 3.2.0-1
tracker3 3.2.1-2
tree 2.0.2-1
tslib 1.22-1
twolame 0.4.0-2
tzdata 2021e-1
udiskie 2.4.2-1
udisks2 2.9.4-1
unrar 1:6.1.6-1
unzip 6.0-18
upower 0.99.17-1
usbmuxd 1.1.1-1
usbutils 014-2
util-linux 2.37.4-1
util-linux-libs 2.37.4-1
v4l-utils 1.22.1-1
valgrind 3.18.1-3
vid.stab 1.1-3
viewnior 1.8-2
vim-runtime 8.2.4464-1
vmaf 2.3.0-1
volume_key 0.3.12-7
volumeicon 0.5.1-5
vulkan-icd-loader 1.3.207-1
wavpack 5.4.0-1
wayland 1.20.0-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wpa_supplicant 2:2.10-3
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.1-1
xf86-video-intel 1:2.99.917+916+g31486f40-2
xfce4-notifyd 0.6.3-1
xfce4-power-manager 4.16.0-3
xfconf 4.16.0-2
xfsprogs 5.14.2-1
xkeyboard-config 2.35.1-1
xorg-fonts-encodings 1.0.5-2
xorg-server 21.1.3-6
xorg-server-common 21.1.3-6
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1.1-1
xorg-xbacklight 1.2.3-2
xorg-xdpyinfo 1.3.2-4
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorgproto 2021.5-1
xvidcore 1.3.7-2
xz 5.2.5-2
zeromq 4.3.4-2
zimg 3.0.3-2
zip 3.0-9
zlib 1:1.2.11-5
zsh 5.8.1-1
zstd 1.5.2-3
